Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",109.905800,-75.779600,0.000000,bottom
"C2","100nF","C_0402_1005Metric",109.956600,-84.314000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",109.956600,-91.324400,0.000000,bottom
"C4","100nF","C_0402_1005Metric",109.956600,-80.377000,0.000000,bottom
"C5","100nF","C_0402_1005Metric",109.956600,-87.819200,0.000000,bottom
"C6","100nF","C_0402_1005Metric",109.728000,-72.655400,0.000000,bottom
"D1","ESD9B3.3ST5G","D_SOD-923",109.855000,-77.176600,180.000000,bottom
"D2","ESD9B3.3ST5G","D_SOD-923",109.796600,-85.736400,180.000000,bottom
"D3","ESD9B3.3ST5G","D_SOD-923",109.796600,-92.797600,180.000000,bottom
"D4","ESD9B3.3ST5G","D_SOD-923",109.796600,-81.875600,180.000000,bottom
"D5","ESD9B3.3ST5G","D_SOD-923",109.796600,-89.292400,180.000000,bottom
"D6","ESD9B3.3ST5G","D_SOD-923",109.674600,-74.052400,180.000000,bottom
"R10","1k","R_0402_1005Metric",123.190000,-71.512400,0.000000,bottom
"R12","1k","R_0402_1005Metric",123.190000,-74.052400,0.000000,bottom
"R13","1k","R_0402_1005Metric",123.190000,-76.592400,0.000000,bottom
"R14","1k","R_0402_1005Metric",123.190000,-79.132400,0.000000,bottom
